,0
f1,2951
f52,2347
f141,1739
f54,1726
f51,1695
f87,1650
f129,1633
f15,1483
f137,1449
f93,1407
f57,1367
f105,1359
f136,1359
tx_count_in_step,1346
f7,1307
f88,1238
f106,1197
f99,1129
f130,1124
f135,1120
f94,1112
f90,1093
f142,1079
f131,1061
f143,1060
f100,1019
f108,999
f96,990
f144,983
f21,982
